S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
281,11/11/2010,5 Thw al-Hijjah 1431 A.H,Working Day,,8:10 PM,Karachi,24.9918,66.9911,Sindh,Crime Investigation Department,Military,High,Closed,,Military,,16,20,100,140,1,,28.18,82.72,1000
282,11/11/2010,5 Thw al-Hijjah 1431 A.H,Working Day,,,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Police,Low,Open,,Military,,,0,,2,1,1.Zahid hospital,18.32,64.97,
283,11/14/2010,8 Thw al-Hijjah 1431 A.H,Holiday,Weekend,,South Waziristan,32.3202,69.8597,FATA,Shakai village,Market,Low,Open,,Anti-Militants,Sunni,,1,,8,1,Wana hospital,7.98,46.37,
284,11/30/2010,24 Thw al-Hijjah 1431 A.H,Working Day,,8:45 AM,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Security Forces,High,Open,police van crossing the chowk,Police,,2,6,6,22,1,,9.98,49.96,12
285,12/6/2010,30 Thw al-Hijjah 1431 A.H,Working Day,,2:00 PM,Mohmand Agency,32.9746,70.1456,FATA,"Mohmad Agency-Ghalani area-Political 
Agent office",Government,High,Closed,,Government Official,,40,50,60,100,2,1.Tehsil Headquarters Ghalani ; 2.Lady Reading,5.08,41.14,
286,12/7/2010,1 MuHarram 1432 A.H,Working Day,,,Quetta,30.2095,67.0182,Balochistan,railway level crossing sryab pattak,Transport,Low,Open,Minister Balochistan,Government Official,,,,10,12,1,CMH,4.51,40.12,
287,12/8/2010,2 MuHarram 1432 A.H,Working Day,,1:00 PM,Kohat,33.5833,71.4333,KPK,Kohat Bus stand,Transport,Low,Open,,Civilian,,18,20,,32,1,,12.2,53.97,10
288,12/10/2010,4 MuHarram 1432 A.H,Working Day,,4:00 PM,Hangu,33.5351,71.0713,KPK,Pass Killay area-under construction Private Hospital,Hospital,Low,Closed,,Civilian,,10,17,16,30,1,Hospitals in Kohat Division,10.38,50.69,400
289,12/23/2010,17 MuHarram 1432 A.H,Working Day,,,Islamabad,33.718,73.0718,Capital,Entrance to imambargah,Religious,Medium,Closed,,Religious,Sunni,,1,,2,1,,11.73,53.11,
290,12/24/2010,18 MuHarram 1432 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Mall road peshawar,Police,High,Open,Police was not sure about the bmbers target,Civilian,,,4,,24,1,lady Reading Hospital-CMH,10.84,51.52,10
291,12/25/2010,19 MuHarram 1432 A.H,Holiday,Christmas/ Birthday Of Quaid-E-Azam,,Bajaur Agency,34.8718,71.5249,FATA,WFP office Khar,Foreigner,High,Closed,target was police checkpost,Police,,42,47,80,105,1,,9.7,49.47,
292,12/27/2010,21 MuHarram 1432 A.H,Working Day,,Evening,Muzaffarabad,34.3597,73.4711,AJK,Procession from Neelam Valley,Park/Ground,Medium,Open,,Religious,Shia,,7,,65,1,,9.24,48.63,
293,1/12/2011,8 safar 1432 A.H,Working Day,,Evening,Bannu,32.935,70.6688,KPK,Bannu Police Station,Religious,Medium,Closed,,Civilian,Sunni,18,20,15,20,1,Bannu's Main hospital,7.78,46,1000
294,1/25/2011,21 safar 1432 A.H,Working Day,,Evening,Lahore,31.5451,74.3407,Punjab,Urdu Bazar intersection on circular road,Police,High,Open,Hazrat Imam Hussain Chehlum Procession,Religious,Shia,11,17,71,80,1,Mayo Hospital-ganagaram hospital,14.16,57.5,5
295,1/27/2011,23 safar 1432 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Sarameena area of Khar tehsil in the Bajaur Agency,Military,High,Open,,Military,,,0,,0,1,,10.4,50.71,
296,1/31/2011,27 safar 1432 A.H,Working Day,,Morning,Peshawar,34.0043,71.5448,KPK,Kohat road Garhi Kamruddin over head bridge,Security Forces,High,Open,Police car,Police,,5,7,14,16,1,,14.36,57.84,7
297,2/10/2011,7 Raby` al-awal 1432 A.H,Working Day,,8:00 AM,Mardan,34.1982,72.0444,KPK,Punjab Regiment Center,Military,High,Open,,Military,,28,36,35,50,1,CMH Mardan-CMH rawalpindi,11.06,51.91,9
298,2/11/2011,8 Raby` al-awal 1432 A.H,Working Day,,,Mohmand Agency,32.9746,70.1456,FATA,Dabo Dheri checkpost in Prang Ghar,Police,High,Open,,Police,,,1,,3,1,,1.44,34.6,
299,2/12/2011,9 Raby` al-awal 1432 A.H,Working Day,,SATURDAY MORNING,Malakand,34.503,71.9046,KPK,Batakhel area,Residence,Low,Closed,security forces were trying to arest the bomber,Military,,1,3,,,1,,8.3,46.95,
300,2/19/2011,16 Raby` al-awal 1432 A.H,Working Day,,,Bannu,32.935,70.6688,KPK,police station in bannu,Police,High,Open,,Police,,,,,4,1,,5.45,41.81,
301,3/1/2011,26 Raby` al-awal 1432 A.H,Working Day,,Night,Karachi,24.9918,66.9911,Sindh,near MDA flats along national highway-in Shah Latif Town,Park/Ground,Low,Open,,Civilian,,,0,,0,1,,23.53,74.35,
302,3/3/2011,28 Raby` al-awal 1432 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,spin khawri chowk,Security Forces,Low,Open,,Police,,5,9,30,36,1,,9.56,49.22,400
303,3/9/2011,4 Raby` al-THaany 1432 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Adezai Village-sheikh Neka graveyard,Park/Ground,Low,Open,,Anti-Militants,Sunni,37,43,,52,1,Lady Reading Hospital,18.6,65.49,16
304,3/24/2011,19 Raby` al-THaany 1432 A.H,Working Day,,8:00 AM,Hangu,33.5351,71.0713,KPK,Rescue 15 Building adjecent to police station in Thall,Police,High,Open,,Police,,5,8,25,30,1,CMH Thall,22.18,71.93,250
305,3/30/2011,25 Raby` al-THaany 1432 A.H,Working Day,,10:45 AM,Swabi,34.1335,72.4702,KPK,Peshawar- Islamabad Motorway-Swabi Interchange,Police,High,Open,,Government Official,,10,13,12,23,1,Shahmansoor Hospital Complex/Swabi District Hospital/khunda Civil Hospital and LRH Peshawar,20.12,68.22,8
306,3/31/2011,26 Raby` al-THaany 1432 A.H,Working Day,,12:45 PM,Charsadda,34.1509,71.7359,KPK,Near DCO office-Nowshehra road,Park/Ground,Low,Open,,Government Official,,,12,20,42,1,Lady reading hospital,19.4,66.93,
307,4/1/2011,27 Raby` al-THaany 1432 A.H,Working Day,,,Dara Adam Khel,33.6854,71.5131,KPK,near a mosque in Dara adam khel bazar-khalid market,Market,Low,Open,peace committee members were present in mosque,Anti-Militants,Sunni,,1,2,8,1,,18.32,64.97,8
308,4/3/2011,29 Raby` al-THaany 1432 A.H,Holiday,Weekend,AROUND 5 PM AND SECOND ATTACK AFTER 15MIN,D.G. Khan,30.05,70.6333,KPK,sakhi arwar shrine-40 km away from D.G Khan,Religious,Medium,Open,Urs ceremony,Religious,Sunni,42,50,100,114,2,sakhi sarwar civil hospital-dera district headquarters hospital,23.04,73.46,
309,4/4/2011,30 Raby` al-THaany 1432 A.H,Working Day,,MONDAY AFTER NOON,Lower Dir,34.8453,71.9046,KPK,Bargain Car market in Munda area of Lower Dir District,Market,Low,Open,,Anti-Militants,Sunni,7,9,22,30,1,Temargara Hospital,16.58,61.85,8
310,4/7/2011,3 Jumaada al-awal 1432 A.H,Working Day,,7:50 AM,Quetta,30.2095,67.0182,Balochistan,Gulistan road-also known as police lines,Residence,Medium,Open,,Police,,,1,17,19,1,Civil hospital-CMH,20.76,69.37,180
311,4/23/2011,19 Jumaada al-awal 1432 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Security Forces,Low,Open,,Anti-Militants,Sunni,,5,5,8,1,Agency headquarter hospital in Miranshah,26.34,79.41,
312,5/13/2011,,Working Day,,6:00 AM,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,High,Open,FC personnel were gathered there,Military,,82,95,128,140,2,LRH,29.28,84.71,20
313,5/14/2011,,Working Day,,11:20 AM,D.G. Khan,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,Low,Open,,Civilian,,,3,,9,1,,33.87,92.97,
314,5/25/2011,,Working Day,,4:40 AM,Peshawar,34.0043,71.5448,KPK,CID station,Police,High,Closed,,Police,,8,11,41,48,1,Lady reading hospital-khyber teaching complex-hayatabad medical complex,33.98,93.16,300
315,5/26/2011,,Working Day,,6:00 PM,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu police station and hangu DPO office,Police,High,Open,,Police,,28,32,55,60,1,hungu district headquarter hospital,27.53,81.55,450
316,5/28/2011,,Working Day,,10:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,Low,Open,,Anti-Militants,Sunni,,8,,11,1,khar agency headquarter hospital,30.06,86.11,
317,6/5/2011,,Holiday,Weekend,8:45 PM,Nowshera,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,High,Closed,,Military,,18,19,28,45,1,Lady reading hospital,32.48,90.46,8
318,6/12/2011,,Holiday,Weekend,11:45 PM,Peshawar,34.0043,71.5448,KPK,Khyber super market-peshawar cantt,Market,Low,Open,,Civilian,,32,35,80,107,1,Lady reading hospital,31.05,87.89,10
319,6/13/2011,,Working Day,,3:00 PM,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,Low,Open,,Civilian,,1,2,4,6,1,PIMS-Shifa International hospital,32.08,89.75,7
320,6/25/2011,,Working Day,,,D.I. Khan,31.8238,70.9095,KPK,Kolache Town,Police,High,Closed,,Police,,,10,3,5,1,,32.92,91.26,
321,7/11/2011,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,Low,Open,,Government Official,,,7,25,26,1,Battagram District Headquarters hospital,31.54,88.78,
322,7/21/2011,,Working Day,,,South Waziristan,32.3202,69.8597,FATA,South waziristan,Security Forces,Low,Open,,Foreigner,,,,,2,1,Jandola hospital,24.3,75.74,
323,7/24/2011,,Holiday,Weekend,,South Waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,High,Open,,Military,,,1,,7,1,,25.2,77.35,
324,8/6/2011,,Working Day,,,Mohmand Agency,32.9746,70.1456,FATA,Danish Kol Bazaar Pandyali,Market,Low,Open,,Military,,,1,,0,1,,24.74,76.54,
325,8/11/2011,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police,High,Open,,Police,,0,2,,12,1,,30.1,86.18,
326,8/19/2011,,Working Day,,FRIDAY PRAYER TIME,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,Medium,Closed,,Civilian,,47,60,70,130,1,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital,30.6,87.08,
327,8/31/2011,5 SHawwal 1432 A.H.,Holiday,Eid-Ul-Fitar,WEDNESDAY MORNING JUST AFTER OFFERING EID PRAYERS,Quetta,30.2095,67.0182,Balochistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,Medium,Open,,Religious,Shia,11,13,12,25,1,city hospitals,25.59,78.06,60
328,9/1/2011,6 SHawwal 1432 A.H.,Holiday,Eid-Ul-Fitar,THURSDAY NIGHT,Lakki Marwat,32.6018,70.9148,KPK,near a police station in Darra Pezu Town,Police,High,Open,,Police,,3,2,14,25,1,,20.84,69.51,300
329,9/7/2011,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,FC DIG's residence at Anscumb road,Military,High,Closed,,Military,,26,28,60,82,2,Civil hospital-CMH,28.46,83.24,100
330,9/15/2011,,Working Day,,AFTER NOON,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from swat valley,Park/Ground,Low,Open,,Civilian,,26,34,63,75,1,,27.24,81.02,
331,9/19/2011,,Working Day,,7:30 AM,Karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police,High,Open,,Police,,,8,4,7,1,,29.2,84.55,300
332,10/28/2011,,Working Day,,,Nowshera,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police,,,,Police,,,2,,,1,,17.54,63.56,
333,11/7/2011,,Working Day,,,Swabi,34.1335,72.4702,KPK,Malikabad area of Swabi,Government/Office,,,,Government Official,,,3,,9,,,19.07,66.32,
334,11/16/2011,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Security Forces,Low,Open,,Police,,5,7,,1,1,Jinnah Postgraduate Medical Center,25.3,77.55,
335,11/18/2011,,Working Day,,3:38 AM,Karachi,24.9918,66.9911,Sindh,Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar,Residence,Low,Closed,,Military,,,1,,,1,Jinnah Postgraduate Medical Center,27.24,81.04,
336,12/24/2011,,Working Day,,5:30 AM,Bannu,32.935,70.6688,KPK,Tochi Scouts headquarters in Bannu,Military,High,Open,,Military,,4,6,18,19,1,CMH Bannu,7.28,45.1,500
337,1/3/2012,,Working Day,,1:00 PM,Gujrat,32.5737,74.0786,Punjab,Gorali village-4 km from Gujrat,Park/Ground,Low,Open,,Civilian,,,2,,,1,,10.94,51.68,
338,1/3/2012,,Working Day,,2:00 PM,Peshawar,34.0043,71.5448,KPK,trade center on arbab road in university town,Market,Low,Closed,,Civilian,,,2,19,28,1,Khyber teaching Hospital,12.07,53.73,6
339,1/3/2012,,Working Day,,2:15 PM,Khyber Agency,34.0211,71.2874,FATA,landikotal town,Market,Low,Open,,Civilian,,,3,7,9,1,,11.28,52.31,
340,1/14/2012,,Working Day,,2:00 PM,D.I. Khan,31.8238,70.9095,KPK,District police officer's office,Police,High,Open,,Police,,4,8,7,10,3,District Headquarters Hospital,6.71,44.08,
341,1/30/2012,,Working Day,,4:00 PM,Peshawar,34.0043,71.5448,KPK,Pakha Ghullam area,Residence,Low,Open,,Anti-Militants,,3,4,7,8,1,Lady Reading Hospital,11.32,52.38,3
342,2/17/2012,,Working Day,,2:00 PM,Kurram Agency,32.9746,70.1456,FATA,Parachinar Outside Shia Mousque,Market,Low,Open,,Civilian,Shia,21,28,,36,1,Agency Headquarter Hospital,0.04,32.07,
343,2/16/2012,,Working Day,,,Upper Dir,35.1977,71.8749,FATA,Dir Town in Northwestren Districk of Upperdir near Afghan Boarder,Market,Low,Open,,Civilian,,1,1,3,3,1,,4.99,40.97,
344,2/24/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,C-Division Police Station (Kotwali police Stataion),Police,High,Closed,,Police,,0,4,,6,3,,9.9,49.83,
345,3/3/2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Shabqadar town 35KM northeast of Peshawar,Security Forces,High,Open,,Government Official,,0,1,,6,1,Lady Reading Hospital (LRH),16.95,62.52,6
346,3/4/2012,,Holiday,Weekend,,D.I. Khan,31.8238,70.9095,KPK,Police patrol in main market area of D.I Khan KPK,Security Forces,Low,Open,,Police,,,0,,3,1,District Headquarters Hospital,15.74,60.32,
347,3/11/2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Badaber Area 15Km from Peshawer,Park/Ground,Low,Open,,Government Official,,14,15,30,33,1,Lady Reading Hospital (LRH),13.33,55.99,6
348,3/15/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Pishtakhara Square-Close to Bara-Khayber Aagency,Police,Low,Open,,Police,,1,1,2,5,1,Hayatabad Medical Hospital-Khyber Teaching Hospital,15.75,60.35,6
349,3/23/2012,,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Akkakhel area of Bara in Khyber Agency,Religious,Low,Open,,Anti-Militants,,5,13,9,10,1,,19.65,67.37,
350,4/5/2012,,Working Day,,7:56 PM,Karachi,24.9918,66.9911,Sindh,Garision Area of Malir,Security Forces,Low,Open,,Police,,4,7,12,14,1,,31.34,88.42,
351,5/4/2012,,Working Day,,7:45 AM,Bajaur Agency,34.8718,71.5249,FATA,security checkpoint in the middle of Khar Bazaar,Market,Low,Open,,Police,,24,26,40,75,1,Agency Headquarters Hospital (AHH)-Lady Reading Hospital (LRH)-,24.58,76.24,
352,6/12/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazidkhel Village-Badhaber Area,Security Forces,Low,Open,,Anti-Militants,,2,3,,5,1,Lady Reading Hospital (LRH),30.6,87.09,8
353,6/28/2012,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Hazar Ganji Area,Security Forces,Low,Open,,Religious,Shia,13,14,20,30,1,Civil hospital-Bolan Medical Complex-CMH,28.46,83.22,50
354,7/16/2012,,Working Day,,9:30 AM,Bannu,32.935,70.6688,KPK,Old City Police Station,Police,High,Closed,,Police,,2,7,2,8,1,District Hospital Bannu,24.56,76.2,
355,9/3/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Abdara Road,Foreigner,Low,Open,,Foreigner,,0,2,18,21,1,Khyber Teaching Hospital-American Club,29.02,84.23,110
356,9/10/2012,,Working Day,,2:40 PM,Kurram Agency,32.9746,70.1456,FATA,Kashmir Chowk-Parachinar,Market,Low,Open,,Civilian,,14,15,40,80,1,,19.93,67.88,
357,10/13/2012,,Holiday,Weekend,10:35 AM,Dara Adam Khel,33.6854,71.5131,KPK,Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body,Market,Medium,Open,,Anti-Militants,,13,20,39,41,1,Lady Reading Hospital,23.5,74.29,30
358,11/4/2012,,Holiday,Weekend,2:00 PM,Buner,34.3943,72.6151,KPK,Near District Headquarters Hospital in Daggar Area,Security Forces,Low,Open,,Anti-Militants,,5,6,7,10,1,District Headquarters Hospital,19.2,66.55,
359,11/7/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near Khan Razzaq Police Station-Qissa Khawani Bazaar,Security Forces,High,Open,,Police,,6,8,28,37,1,Lady Reading Hospital,19.82,67.68,8
360,11/8/2012,,Working Day,,6:55 AM,Karachi,24.9918,66.9911,Sindh,Sachal Rangers' Headquarters-North Nazimabad Block B Area,Military,High,Open,,Military,,0,3,18,23,1,Abbasi Shaheed Hospital-Sindh Rangers Hospital-PNS Shifa Hospital,26,78.79,150
361,11/19/2012,,Working Day,,,Mohmand Agency,32.9746,70.1456,FATA,Ghaiba Khwar Area of Haleemzai Tehsil,Security Forces,Low,Open,,Government Official,,0,0,3,4,1,Ghallanai Headquarter Hospital,7.52,45.54,
362,11/21/2012,,Working Day,,6:15 PM,Karachi,24.9918,66.9911,Sindh,Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah,Religious,High,Open,Muharram Procession,Religious,Shia,3,4,4,7,1,Qatar Hospital-Abbasi Shaheed Hospital,22.22,72,5
363,11/21/2012,,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road,Religious,High,Open,Muharram Procession,Religious,Shia,12,20,25,40,1,DHQ-Combined Military-Benazir Bhutto Hospital,16.8,62.23,
364,11/25/2012,,Holiday,Ashura,,D.I. Khan,31.8238,70.9095,KPK,Commissionary Bazaar-Choglia Area,Market,High,Open,Muharram Procession,Religious,Shia,5,6,70,80,1,District Headquarter Teaching Hospital-Combined Military Hospital,12.21,53.98,12
365,11/29/2012,,Working Day,,,South Waziristan,32.3202,69.8597,FATA,Rustam Bazaar,Security Forces,Low,Open,,Anti-Militants,,5,8,10,18,1,Tehsil Headquarter Hospital Wana,3.9,39.01,
366,12/4/2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Haved Police Station Bannu,Police,High,Open,,Police,,,,6,10,1,DHQ Hospital Bannu,15.44,59.78,800
367,12/5/2012,,Working Day,,6:30 AM,South Waziristan,32.3202,69.8597,FATA,Zaree Noor Camp-Angoor Adda Rd,Military,High,Open,,Military,,2,3,20,25,1,First Treatment Hospital,7.1,44.78,
368,12/22/2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Dhaki Nalbandi Area-Qissa Khwani Bazar,Residence,High,Closed,,Government Official,,,9,17,20,1,Lady Reading Hospital,15.06,59.12,6
369,1/10/2013,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road,Market,High,Closed,,Civilian,Shia,51,93,116,121,2,Civil Hospital and the Combined Military Hospital-Quetta,9.06,48.31,
370,2/1/2013,,Working Day,,FRIDAY PRAYER TIME,Hangu,33.5351,71.0713,KPK,Masjid Faizullah and Masjid Purdil near Marketplace,Religious,High,Open,Possibley anti-taliban Sunni Council,Civilian,Sunni,24,27,40,50,1,DHQ-Kohat,10.79,51.42,
371,2/14/2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Security checkpost located in Tal area of Hangu,Military,High,Open,FC check post,Military,,7,,8,23,1,,12.12,53.82,
372,2/14/2013,,Working Day,,,Bannu,32.935,70.6688,KPK,Maryan police station in Frontier Region Bannu,Police,High,Open,TTP avenged killing of their fighters in custody and bodies thrown in Miramshah,Police,,0,0,1,,4,,8.31,46.96,
373,2/16/2013,,Working Day,Weekend,6:00 PM,Quetta,30.2095,67.0182,Balochistan,Kirani Road near Hazara Town,Market,Medium,Open,,Civilian,Shia,64,84,180,200,1,Civil Hospital and the Combined Military Hospital,5.49,41.88,1000
374,2/18/2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Khyber Agency's Political Agent Office in Peshawar,Office Building,High,Closed,,Government Official,,5,,7,,2,Lady Reading Hospital,15.55,59.99,6
375,3/18/2013,,Working Day,,12:10 PM,Peshawar,34.0043,71.5448,KPK,Judicial Complex loacated on Khyber Road,Office Building,High,Open,Court Proceeding,Government Official,,2,4,22,47,2,Lady Reading Hospital,18.73,65.7,6
376,3/23/2013,,Holiday,Pakistan Day,,North Waziristan,32.9746,70.1456,FATA,Security Checkpost near Miramshah,Military,High,Open,Tochi Scouts Check Post Building,Military,,8,22,20,35,1,,6.44,43.59,
377,3/29/2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near security check post Saddar Cantt area of Peshawar,Market,High,Open,FC convoy,Military,,5,12,11,35,,Lady Reading Hospital,21.52,70.74,
378,4/16/2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,The bomb blast took place in Yakatoot in Kotwali Abid Khan,Market,High,Open,Election campain gathering of a Secular Party,Civilian,,16,18,49,60,1,Lady Reading Hospital,22.8,73.05,6
379,4/16/2013,,Working Day,,5:30 PM,North Waziristan,32.9746,70.1456,FATA,Near Dirdhoni Check Post,Military,High,Open,Military Convoy,Military,,7,9,8,18,1,Military Hospital Miranshah,16.9,62.42,
380,4/20/2013,,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Outside Headquarter Hospital,Office Building,High,Open,,Civilian,,4,4,4,4,1,Headquarter Hospital Bajour Agency,18.81,65.86,
381,4/23/2013,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Paramilitary check post near the Shiite neighbourhood,Residence,High,Open,Secratian,Civilian,Shia,6,6,37,40,1,,17.65,63.77,
382,4/29/2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Jehangir Abad neighbourhood on Arbab Road,Market,High,Open,,Civilian,,8,10,30,45,,Khyber Teaching Hospital,23.69,74.64,6
383,5/1/2013,,Holiday,Labour Day,,Shikarpur,28,68.6667,Sindh,Southern Shikarpur district of Sindh province-some 400 kilometres (250 miles) northeast of Karachi,Security Forces,Low,Open,Parliamentary Candidate from National People's Party in Sindh,Civilian,,1,1,2,2,,,30.72,87.29,
384,5/7/2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Near Market in the town of Doaba,Market,High,Open,KP 43 Election Candidate Syed Janan of JUIF,Civilian,,12,12,35,40,,,25.34,77.6,
385,5/8/2013,,Working Day,,5:30 AM,Bannu,32.935,70.6688,KPK,Domail Police station Bannu,Police,High,Open,Bannu Police,Police,,2,3,23,27,,Government Hospital Bannu,20.72,69.29,
386,5/11/2013,,Holiday,General Elections,Evening,Karachi,24.9918,66.9911,Sindh,Manghopir,Military,Medium,Open,,Military,,2,2,3,5,,,30.64,87.15,
387,5/12/2013,,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Balochistan,Residence IG Police province of Balochistan,Police,High,Open,,Police,,6,7,45,68,,Civil Hospital,23.64,74.54,
388,5/24/2013,,Working Day,,Noon,Peshawar,34.0043,71.5448,KPK,Outside Jamia Uloom al-Islamia Peshawar,Religious,High,Open,Afghan Religious Leader Haji Hidayatullah,Religious,,3,3,2,2,,,34.72,94.5,6
389,6/3/2013,,Working Day,,,North Waziristan,32.9746,70.1456,FATA,Razmak town 20kms to the north of Miramshah,Military,High,Open,Security Checkpost,Military,,,,2,2,,,21.72,71.09,
390,6/15/2013,,Working Day,,Noon,Quetta,30.2095,67.0182,Balochistan,Parking of Sardar Bahadur Khan University-Quetta,Educational,Low,Open,,Civilian,,12,14,19,19,,Bolan Medical Complex Quetta,29.55,85.19,
391,6/15/2013,,Working Day,,Noon,Quetta,30.2095,67.0182,Balochistan,Bolan Medical Complex,Hospital,Low,Closed,Security officials visiting victims of suicide attack on student bus of Sarda Bahdur Khan Women Univrsity,Police,,11,11,,,,Bolan Medical Complex Quetta,29.55,85.19,
392,6/18/2013,,Working Day,,4:00 PM,Mardan,34.1982,72.0444,KPK,Zaragaranoo Kallay-Ittehad Colony Mardan,Park/Ground,Low,Open,Police officials argue that Imran Khan Mohmand-a provincial lawmaker seems to have been the target,Civilian,,27,34,52,60,,Tehsil Headquarters Takht Bhai-Mardan Medical Complex and Lady Reading Hospital in Peshawar,27.46,81.44,8
393,6/21/2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Gulshan Colony,Religious,High,Closed,Sectarian strife,Civilian,Shia,14,15,28,30,,Lady Reading Hospital,35,95,7
394,6/30/2013,,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Balochistan,Hazara Town,Religious,High,Open,Sectarian strife,Civilian,Shia,28,30,65,70,,Bolan Medical Complex Quetta-CMH-Civil Hospital,30.92,87.65,
395,7/8/2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Doaba Bazaar,Market,High,Open,Tribal elder Malik Habibullah Khan was the target,Civilian,,6,8,10,10,,,30.72,87.3,
396,7/25/2013,,Working Day,,Evening,Sukkur,27.6833,68.8667,Sindh,Sukkur Barrage Colony,Police,Low,Open,Coordinated assault on ISI sukkur office building,Military,,8,9,30,30,2,,36.34,97.42,
397,7/26/2013,,Working Day,,Evening,Kurram Agency,32.9746,70.1456,KPK,Parachinar Bazaar,Market,High,Open,,Civilian,Shia,43,50,180,200,2,Parachinar Headquarters Hospital,26.02,78.83,
398,8/8/2013,,Holiday,Eid Holidays,,Quetta,30.2095,67.0182,Balochistan,Police Headquarters Quetta,Police,High,Open,Gathering on Funeral prayers of SHO City Mohibullah who was shot dead earlier in the day,Police,,30,38,50,60,1,Civil Hospital and CMH Quetta,31.06,87.91,8
399,9/22/2013,,Holiday,,,Peshawar,34.0043,71.5448,KPK,All Saints Church near Qissa Khawani bazaar in  Peshawar,Religious,High,Open,Two suicide attackers blew themselves up outside a church near Qissa Khawani bazaar,Civilian,,78,81,100,145,2,Lady Reading Hospital,29.84,85.71,
400,10/2/2013,,Working Day,,,Chaman,30.9222,66.4447,Balochistan,southwestern border crossin between Afghanistan and Pakistan,Office Building,High,Open,,Government Official,,6,8,10,16,1,,24.42,75.96,
401,10/3/2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Spin Tall region of Hangu,Residence,High,Open,A Compound of an anti-Taliban militia commander Mullah Nabi Hanafi was targetted by militants,Anti-Militants,,15,17,22,22,1,,25.96,78.73,
