S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
204,10/5/2009,16 SHawwal 1430 A.H,Working Day,,12:15 PM,Islamabad,33.718,73.0718,Capital,WFP office in islamabad F-8/3,Foreigner,High,Closed,,Foreigner,Christian,,5,3,8,1,,24.94,76.88,8
205,10/9/2009,20 SHawwal 1430 A.H,Working Day,,12:15 PM,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,Low,Open,,Civilian,,48,50,148,187,1,Lady Reading Hospital ; Peshawar,25.75,78.35,100
206,10/12/2009,23 SHawwal 1430 A.H,Working Day,,1:00 PM,Shangla,34.8015,72.757,KPK,near police station in Alpuri area of shangla District,Security Forces,High,Open,military convoy,Military,,,41,45,50,1,Alpuri Hospital,22.04,71.67,
207,10/15/2009,26 SHawwal 1430 A.H,Working Day,,8:00 AM,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,High,Closed,,Police,,11,12,20,24,1,Kohat Hospital,23.25,73.85,100
208,10/15/2009,26 SHawwal 1430 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,FIA Headquarter-Manawan Police training school-elite training school,Police,High,Closed,,Police,,,18,,50,,,25.22,77.4,
209,10/16/2009,27 SHawwal 1430 A.H,Working Day,,2:45 PM,Peshawar,34.0043,71.5448,KPK,crimes investigation agency (CIA) in Swati gate-near peshawar cantt,Military,High,Closed,,Military,,14,15,15,24,1,Lady Reading Hospital ; Peshawar,23.26,73.88,70
210,10/20/2009,1 Thw al-Qi`dah 1430 A.H,Working Day,,2:10 PM,Islamabad,33.718,73.0718,Capital,"Islamic International University
Islamabad",Educational,Low,Closed,,Civilian,,5,6,29,40,2,,21.9,71.41,16
211,10/23/2009,4 Thw al-Qi`dah 1430 A.H,Working Day,,7:10 AM,Attock,33.7645,72.3667,Punjab,"Kamra chowk-Aeronautical Complex
Security Check Post",Military,High,Open,,Military,,8,9,13,17,1,Govt Hospital Kamra,20.86,69.56,
212,10/24/2009,5 Thw al-Qi`dah 1430 A.H,Working Day,,Late Night,Chakwal,32.9303,72.8556,Punjab,checkpost between kalarkahar and lilla interchange-lahore to isb motorway-,Police,High,Open,,Police,,,1,,,1,,20.48,68.87,
213,11/2/2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,10:40 AM,Rawalpindi,33.6058,73.0437,Punjab,"Outside National Bank
Rawalpindi Cantt",Bank,Low,Open,,Civilian,,35,38,60,65,1,CMH-Distric headquarter hospital-militry hospital-combined military hospital,20.76,69.36,15
214,11/2/2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,6:40 PM,Lahore,31.5451,74.3407,Punjab,"Checkpost at Babu Sabu Interchange
on Lahore Islamabad Motorway",Police,High,Open,,Police,,,,10,25,1,mian munchi hospital-mayo hospital,21.02,69.84,10
215,11/8/2009,20 Thw al-Qi`dah 1430 A.H,Holiday,Weekend,9:30 AM,Peshawar,34.0043,71.5448,KPK,"Cattle Market in Adezai
Village in Peshawar",Market,Low,Open,,Government Official,,12,19,35,45,1,Lady Reading Hospital ; Peshawar,14.74,58.53,10
216,11/9/2009,21 Thw al-Qi`dah 1430 A.H,Holiday,Iqbal Day,9:45 AM,Peshawar,34.0043,71.5448,KPK,police check post near busy intersection that connects charsadda road and ring road-Faqirabad,Police,High,Open,,Police,,,3,5,7,1,,15.48,59.86,7
217,11/10/2009,22 Thw al-Qi`dah 1430 A.H,Working Day,,4:30 PM,Charsadda,34.1509,71.7359,KPK,ghafoor market in charsadda bazar-tangi road Farooq e Azam Chowk,Market,Low,Open,,Civilian,,32,34,60,100,1,Lady Reading Hospital ; Peshawar,15.49,59.88,60
218,11/13/2009,25 Thw al-Qi`dah 1430 A.H,Working Day,,6:45 AM,Peshawar,34.0043,71.5448,KPK,Military Check point at the entrance of regional HQ ISI,Military,High,Open,,Military,,10,13,47,70,1,Lady Reading Hospital-combined military hospital-khyber teaching hospital-; Peshawar,17.42,63.36,400
219,11/13/2009,25 Thw al-Qi`dah 1430 A.H,Working Day,,7:15 AM,Bannu,32.9861,70.6042,KPK,Bakakhel police station on bannu-miranshah road,Police,High,Closed,,Police,,7,8,22,29,1,,10.7,51.26,200
220,11/14/2009,26 Thw al-Qi`dah 1430 A.H,Working Day,,4:15 PM,Peshawar,34.0043,71.5448,KPK,police check post on Pishtakhara Intersection,Police,High,Open,,Police,,,12,25,35,1,1. LRH Peshawar; 2. Khyber Teaching; 3. Hayatabad Medical,17.01,62.62,60
221,11/16/2009,28 Thw al-Qi`dah 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,check point outside Badbher-police station,Police,High,Open,,Police,,,3,,43,1,LRH,14.65,58.37,250
222,11/19/2009,2 Thw al-Hijjah 1430 A.H,Working Day,,10:20 AM,Peshawar,34.0043,71.5448,KPK,"Main Gate of the Judicial
Complex on Khyber Road",Government,High,Open,,Government Official,,20,22,46,50,1,Lady Reading Hospital ; Peshawar,15.72,60.3,10
223,12/1/2009,14 Thw al-Hijjah 1430 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,"District Mangora-Tehsil Kabal
-Dherai area",Residence,Medium,Closed,,Government Official,,1,2,11,30,1,,13.83,56.89,10
224,12/2/2009,15 Thw al-Hijjah 1430 A.H,Working Day,,1:30 PM,Islamabad,33.718,73.0718,Capital,Naval Complex,Military,High,Open,,Military,,,2,10,18,1,,15.6,60.07,12
225,12/4/2009,17 Thw al-Hijjah 1430 A.H,Working Day,,DURING FRIDAY PRAYER,Rawalpindi,33.6058,73.0437,Punjab,Qasim market-Parade Lane Masjid,Religious,Medium,Closed,,Military,,36,40,75,83,1,1. CMH Rawalpindi; 2. DHQ Rawalpindi; 3. AFIC 4.MH,16.04,60.87,
226,12/7/2009,20 Thw al-Hijjah 1430 A.H,Working Day,,12:30 PM,Peshawar,34.0043,71.5448,KPK,"At the Gate of Peshawar
Session Court",Government,High,Open,,Government Official,,9,11,37,50,1,Lady Reading Hospital ; Peshawar,13.76,56.78,8
227,12/7/2009,21 Thw al-Hijjah 1430 A.H,Working Day,,8:42 PM,Lahore,31.5451,74.3407,Punjab,Moon Market Lahore Allama Iqbal Town,Market,Low,Open,,Civilian,,38,45,100,135,2,1. Jinnah Hospital; 2. Sheikh Zahyad Hospital; 3. Mayo Hospital 4.services hospital-5.farooq hospital,13.12,55.62,
228,12/8/2009,21 Thw al-Hijjah 1430 A.H,Working Day,,12:10 PM,Multan,30.1886,71.4559,Punjab,checkpost near ISI Office building in Qasim Bala area -Multan Cantt,Military,High,Open,,Military,,8,15,47,61,1,1. CMH; 2. Nishtar Hospital,14.84,58.71,1000
229,12/15/2009,28 Thw al-Hijjah 1430 A.H,Working Day,,2:30 PM,D.G. Khan,30.05,70.6333,KPK,Khosa market near-house of Zulfiqar ali Khosa,Residence,Medium,Open,,Government Official,,24,33,55,70,1,district headquarters hospitals,16.34,61.41,1000
230,12/17/2009,30 Thw al-Hijjah 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Essakhel village-house of Local political leader,Residence,Medium,Closed,,Government Official,,,0,,0,1,,6.32,43.37,
231,12/18/2009,1 MuHarram 1431 A.H.,Working Day,,1:30 PM,Lower Dir,34.8453,71.9046,KPK,mosque on Khursheed police line- civil colony in Timergarah,Religious,Medium,Closed,,Police,,,12,28,35,1,DHQ Timergara,10.69,51.24,20
232,12/22/2009,5 MuHarram 1431 A.H,Working Day,,11:40 AM,Peshawar,34.0043,71.5448,KPK,"Main Gate Peshawar Press 
Club",Office Building,Low,Closed,,Media,,1,3,21,24,1,Lady Reading Hospital ; Peshawar,13.12,55.62,10
233,12/24/2009,7 MuHarram 1431 A.H,Working Day,,11:57 AM,Peshawar,34.0043,71.5448,KPK,junction of mall road and Arbab Road-near PIA Building,Police,High,Open,,Government Official,,4,5,24,25,1,Lady Reading Hospital ; Peshawar,13.48,56.26,10
234,12/24/2009,7 MuHarram 1431 A.H,Working Day,,10:18 PM,Islamabad,33.718,73.0718,Capital,Majlis in Shakrial-near darbad saein boota,Religious,Medium,Open,Shia Religious Gathering,Religious,Shia,,1,1,4,1,PIMS,12.7,54.86,
235,12/28/2009,11 MuHarram 1431 A.H,Holiday,Ashura,6:30 PM,Muzaffarabad,34.3597,73.4711,AJK,CMH Road-Muzaffarabad,Park/Ground,Medium,Open,Muharram Procession,Religious,Shia,10,15,81,100,1,,9.52,49.14,
